2026-03-17 10:39:08.066 [info] [McpGatewayService] Initialized
2026-03-17 10:48:06.270 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 10:50:06.229 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 10:52:59.818 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 10:53:22.786 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 10:58:20.489 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 10:58:51.580 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 11:17:06.098 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 11:24:22.321 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 13:47:01.352 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 13:47:06.451 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 13:49:07.275 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 13:50:09.112 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 13:53:43.170 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 14:55:59.690 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 14:55:59.691 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 14:59:16.453 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 15:08:03.879 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-03-17 15:10:09.645 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
